State,Year,Month,Day,Rainfall (mm)
Johor,2014,5,13,0.00
Johor,2014,5,14,1.48
Johor,2014,5,15,8.65
Johor,2014,5,16,3.03
Johor,2014,5,17,0.01
Johor,2014,5,18,0.01
Johor,2014,5,19,0.03
Johor,2014,5,20,0.00
Johor,2014,5,21,0.00
Johor,2014,5,22,0.01
Johor,2014,5,23,0.69
Johor,2014,5,24,0.17
Johor,2014,5,25,0.36
Johor,2014,5,26,0.37
Johor,2014,5,27,0.46
Johor,2014,5,28,0.00
Johor,2014,5,29,0.00
Johor,2014,5,30,0.00
Johor,2014,5,31,0.19
Johor,2014,6,1,0.01
Johor,2014,6,2,0.00
Johor,2014,6,3,0.07
Johor,2014,6,4,0.29
Johor,2014,6,5,0.03
Johor,2014,6,6,0.13
Johor,2014,6,7,0.43
Johor,2014,6,8,0.01
Johor,2014,6,9,0.12
Johor,2014,6,10,0.11
Johor,2014,6,11,2.66
Johor,2014,6,12,3.59
Johor,2014,6,13,0.68
Johor,2014,6,14,15.43
Johor,2014,6,15,14.40
Johor,2014,6,16,7.39
Johor,2014,6,17,19.71
Johor,2014,6,18,8.54
Johor,2014,6,19,4.46
Johor,2014,6,20,0.16
Johor,2014,6,21,2.20
Johor,2014,6,22,0.60
Johor,2014,6,23,2.79
Johor,2014,6,24,0.70
Johor,2014,6,25,0.19
Johor,2014,6,26,3.12
Johor,2014,6,27,4.92
Johor,2014,6,28,5.41
Johor,2014,6,29,3.41
Johor,2014,6,30,2.33
Johor,2014,7,1,2.31
Johor,2014,7,2,1.22
Johor,2014,7,3,0.50
Johor,2014,7,4,3.05
Johor,2014,7,5,0.46
Johor,2014,7,6,2.25
Johor,2014,7,7,1.29
Johor,2014,7,8,0.00
Johor,2014,7,9,0.07
Johor,2014,7,10,1.06
Johor,2014,7,11,0.71
Johor,2014,7,12,1.89
Johor,2014,7,13,2.59
Johor,2014,7,14,2.86
Johor,2014,7,15,1.74
Johor,2014,7,16,6.02
Johor,2014,7,17,3.40
Johor,2014,7,18,0.31
Johor,2014,7,19,0.57
Johor,2014,7,20,1.10
Johor,2014,7,21,1.87
Johor,2014,7,22,6.19
Johor,2014,7,23,4.26
Johor,2014,7,24,4.83
Johor,2014,7,25,9.56
Johor,2014,7,26,23.29
Johor,2014,7,27,7.59
Johor,2014,7,28,10.85
Johor,2014,7,29,13.65
Johor,2014,7,30,0.94
Johor,2014,7,31,2.22
Johor,2014,8,1,0.62
Johor,2014,8,2,5.41
Johor,2014,8,3,4.05
Johor,2014,8,4,2.70
Johor,2014,8,5,0.05
Johor,2014,8,6,0.00
Johor,2014,8,7,0.55
Johor,2014,8,8,0.02
Johor,2014,8,9,0.08
Johor,2014,8,10,1.60
Johor,2014,8,11,1.01
Johor,2014,8,12,3.70
Johor,2014,8,13,4.38
Johor,2014,8,14,10.48
Johor,2014,8,15,14.60
Johor,2014,8,16,14.52
Johor,2014,8,17,5.28
Johor,2014,8,18,8.95
Johor,2014,8,19,8.39
Johor,2014,8,20,5.96
Johor,2014,8,21,4.57
Johor,2014,8,22,25.85
Johor,2014,8,23,15.81
Johor,2014,8,24,12.71
Johor,2014,8,25,0.22
Johor,2014,8,26,6.43
Johor,2014,8,27,0.11
Johor,2014,8,28,0.57
Johor,2014,8,29,9.53
Johor,2014,8,30,16.05
Johor,2014,8,31,8.70
Johor,2014,9,1,2.84
Johor,2014,9,2,1.83
Johor,2014,9,3,2.85
Johor,2014,9,4,0.73
Johor,2014,9,5,1.43
Johor,2014,9,6,6.24
Johor,2014,9,7,7.40
Johor,2014,9,8,0.99
Johor,2014,9,9,6.92
Johor,2014,9,10,8.85
Johor,2014,9,11,7.93
Johor,2014,9,12,2.95
Johor,2014,9,13,6.76
Johor,2014,9,14,30.37
Johor,2014,9,15,8.94
Johor,2014,9,16,0.03
Johor,2014,9,17,2.81
Johor,2014,9,18,6.08
Johor,2014,9,19,10.79
Johor,2014,9,20,9.01
Johor,2014,9,21,6.02
Johor,2014,9,22,6.25
Johor,2014,9,23,10.48
Johor,2014,9,24,7.27
Johor,2014,9,25,3.58
Johor,2014,9,26,1.00
Johor,2014,9,27,3.56
Johor,2014,9,28,3.10
Johor,2014,9,29,2.62
Johor,2014,9,30,0.03
Johor,2014,10,1,0.55
Johor,2014,10,2,6.70
Johor,2014,10,3,4.96
Johor,2014,10,4,3.80
Johor,2014,10,5,2.25
Johor,2014,10,6,14.39
Johor,2014,10,7,6.18
Johor,2014,10,8,8.71
Johor,2014,10,9,8.71
Johor,2014,10,10,8.07
Johor,2014,10,11,5.02
Johor,2014,10,12,15.18
Johor,2014,10,13,9.67
Johor,2014,10,14,12.05
Johor,2014,10,15,12.45
Johor,2014,10,16,11.79
Johor,2014,10,17,13.60
Johor,2014,10,18,10.13
Johor,2014,10,19,2.45
Johor,2014,10,20,1.12
Johor,2014,10,21,5.17
Johor,2014,10,22,6.06
Johor,2014,10,23,0.96
Johor,2014,10,24,0.31
Johor,2014,10,25,0.03
Johor,2014,10,26,0.28
Johor,2014,10,27,0.63
Johor,2014,10,28,0.35
Johor,2014,10,29,1.51
Johor,2014,10,30,0.62
Johor,2014,10,31,1.03
Johor,2014,11,1,4.52
Johor,2014,11,2,15.43
Johor,2014,11,3,39.62
Johor,2014,11,4,15.98
Johor,2014,11,5,20.49
Johor,2014,11,6,35.65
Johor,2014,11,7,8.38
Johor,2014,11,8,6.83
Johor,2014,11,9,16.12
Johor,2014,11,10,14.18
Johor,2014,11,11,4.21
Johor,2014,11,12,12.08
Johor,2014,11,13,14.20
Johor,2014,11,14,5.86
Johor,2014,11,15,1.79
Johor,2014,11,16,7.97
Johor,2014,11,17,11.64
Johor,2014,11,18,14.63
Johor,2014,11,19,8.60
Johor,2014,11,20,1.02
Johor,2014,11,21,1.16
Johor,2014,11,22,3.37
Johor,2014,11,23,8.56
Johor,2014,11,24,6.77
Johor,2014,11,25,9.68
Johor,2014,11,26,6.49
Johor,2014,11,27,21.34
Johor,2014,11,28,25.02
Johor,2014,11,29,16.03
Johor,2014,11,30,4.77
Johor,2014,12,1,4.01
Johor,2014,12,2,6.69
Johor,2014,12,3,5.88
Johor,2014,12,4,4.05
Johor,2014,12,5,11.91
Johor,2014,12,6,6.21
Johor,2014,12,7,0.08
Johor,2014,12,8,0.06
Johor,2014,12,9,0.04
Johor,2014,12,10,0.31
Johor,2014,12,11,2.33
Johor,2014,12,12,3.92
Johor,2014,12,13,14.00
Johor,2014,12,14,15.30
Johor,2014,12,15,2.74
Johor,2014,12,16,1.30
Johor,2014,12,17,12.80
Johor,2014,12,18,15.40
Johor,2014,12,19,22.11
Johor,2014,12,20,21.14
Johor,2014,12,21,4.88
Johor,2014,12,22,10.60
Johor,2014,12,23,43.12
Johor,2014,12,24,46.08
Johor,2014,12,25,18.72
Johor,2014,12,26,25.14
Johor,2014,12,27,75.07
Johor,2014,12,28,54.43
Johor,2014,12,29,30.15
Johor,2014,12,30,29.53
Johor,2014,12,31,1.81
Johor,2015,1,1,0.59
Johor,2015,1,2,8.76
Johor,2015,1,3,29.92
Johor,2015,1,4,10.59
Johor,2015,1,5,10.09
Johor,2015,1,6,2.12
Johor,2015,1,7,2.69
Johor,2015,1,8,2.45
Johor,2015,1,9,2.38
Johor,2015,1,10,6.79
Johor,2015,1,11,12.16
Johor,2015,1,12,5.20
Johor,2015,1,13,3.65
Johor,2015,1,14,1.05
Johor,2015,1,15,2.68
Johor,2015,1,16,5.15
Johor,2015,1,17,2.70
Johor,2015,1,18,0.73
Johor,2015,1,19,6.30
Johor,2015,1,20,3.73
Johor,2015,1,21,2.93
Johor,2015,1,22,8.96
Johor,2015,1,23,7.30
Johor,2015,1,24,2.58
Johor,2015,1,25,31.66
Johor,2015,1,26,83.90
Johor,2015,1,27,42.64
Johor,2015,1,28,18.29
Johor,2015,1,29,18.94
Johor,2015,1,30,17.74
Johor,2015,1,31,2.57
Johor,2015,2,1,2.97
Johor,2015,2,2,0.43
Johor,2015,2,3,0.12
Johor,2015,2,4,0.10
Johor,2015,2,5,0.69
Johor,2015,2,6,0.97
Johor,2015,2,7,1.08
Johor,2015,2,8,0.80
Johor,2015,2,9,0.12
Johor,2015,2,10,0.14
Johor,2015,2,11,0.06
Johor,2015,2,12,0.01
Johor,2015,2,13,0.32
Johor,2015,2,14,0.49
Johor,2015,2,15,0.00
Johor,2015,2,16,0.03
Johor,2015,2,17,0.02
Johor,2015,2,18,0.06
Johor,2015,2,19,0.00
Johor,2015,2,20,0.06
Johor,2015,2,21,0.06
Johor,2015,2,22,0.14
Johor,2015,2,23,0.05
Johor,2015,2,24,0.11
Johor,2015,2,25,0.08
Johor,2015,2,26,0.01
Johor,2015,2,27,0.01
Johor,2015,2,28,0.05
Johor,2015,3,1,0.75
Johor,2015,3,2,0.19
Johor,2015,3,3,0.11
Johor,2015,3,4,0.00
Johor,2015,3,5,0.00
Johor,2015,3,6,0.08
Johor,2015,3,7,0.36
Johor,2015,3,8,0.98
Johor,2015,3,9,0.00
Johor,2015,3,10,0.03
Johor,2015,3,11,0.02
Johor,2015,3,12,0.02
Johor,2015,3,13,0.10
Johor,2015,3,14,0.19
Johor,2015,3,15,0.01
Johor,2015,3,16,0.01
Johor,2015,3,17,0.02
Johor,2015,3,18,0.03
Johor,2015,3,19,1.25
Johor,2015,3,20,13.66
Johor,2015,3,21,10.99
Johor,2015,3,22,9.54
Johor,2015,3,23,11.87
Johor,2015,3,24,2.38
Johor,2015,3,25,1.56
Johor,2015,3,26,4.71
Johor,2015,3,27,3.13
Johor,2015,3,28,5.45
Johor,2015,3,29,2.64
Johor,2015,3,30,4.95
Johor,2015,3,31,3.46
Johor,2015,4,1,8.33
Johor,2015,4,2,6.35
Johor,2015,4,3,2.14
Johor,2015,4,4,4.70
Johor,2015,4,5,4.58
Johor,2015,4,6,2.80
Johor,2015,4,7,4.13
Johor,2015,4,8,14.05
Johor,2015,4,9,20.82
Johor,2015,4,10,19.40
Johor,2015,4,11,21.69
Johor,2015,4,12,51.95
Johor,2015,4,13,43.97
Johor,2015,4,14,5.27
Johor,2015,4,15,20.29
Johor,2015,4,16,7.19
Johor,2015,4,17,11.17
Johor,2015,4,18,6.62
Johor,2015,4,19,4.16
Johor,2015,4,20,1.67
Johor,2015,4,21,2.14
Johor,2015,4,22,1.61
Johor,2015,4,23,0.87
Johor,2015,4,24,1.00
Johor,2015,4,25,2.88
Johor,2015,4,26,1.31
Johor,2015,4,27,1.68
Johor,2015,4,28,2.14
Johor,2015,4,29,0.39
Johor,2015,4,30,0.56
Johor,2015,5,1,0.97
Johor,2015,5,2,0.01
Johor,2015,5,3,0.01
Johor,2015,5,4,1.55
Johor,2015,5,5,5.32
Johor,2015,5,6,4.70
Johor,2015,5,7,12.44
Johor,2015,5,8,3.75
Johor,2015,5,9,12.81
Johor,2015,5,10,11.20
Johor,2015,5,11,8.53
Johor,2015,5,12,2.78
Johor,2015,5,13,2.33
Johor,2015,5,14,2.91
Johor,2015,5,15,2.25
Johor,2015,5,16,1.25
Johor,2015,5,17,9.54
Johor,2015,5,18,14.84
Johor,2015,5,19,2.98
Johor,2015,5,20,0.07
Johor,2015,5,21,0.91
Johor,2015,5,22,25.19
Johor,2015,5,23,4.33
Johor,2015,5,24,0.00
Johor,2015,5,25,1.13
Johor,2015,5,26,3.22
Johor,2015,5,27,5.75
Johor,2015,5,28,0.05
Johor,2015,5,29,0.29
Johor,2015,5,30,0.94
Johor,2015,5,31,2.17
Johor,2015,6,1,0.80
Johor,2015,6,2,2.26
Johor,2015,6,3,0.96
Johor,2015,6,4,2.18
Johor,2015,6,5,5.20
Johor,2015,6,6,22.93
Johor,2015,6,7,17.72
Johor,2015,6,8,11.28
Johor,2015,6,9,6.75
Johor,2015,6,10,5.20
Johor,2015,6,11,13.53
Johor,2015,6,12,7.65
Johor,2015,6,13,7.75
Johor,2015,6,14,0.51
Johor,2015,6,15,0.01
Johor,2015,6,16,0.14
Johor,2015,6,17,0.64
Johor,2015,6,18,8.57
Johor,2015,6,19,1.85
Johor,2015,6,20,0.66
Johor,2015,6,21,0.13
Johor,2015,6,22,0.60
Johor,2015,6,23,3.47
Johor,2015,6,24,5.62
Johor,2015,6,25,2.83
Johor,2015,6,26,2.18
Johor,2015,6,27,1.92
Johor,2015,6,28,8.66
Johor,2015,6,29,0.89
Johor,2015,6,30,4.35
Johor,2015,7,1,6.20
Johor,2015,7,2,8.09
Johor,2015,7,3,6.48
Johor,2015,7,4,16.14
Johor,2015,7,5,3.31
Johor,2015,7,6,8.99
Johor,2015,7,7,34.91
Johor,2015,7,8,14.08
Johor,2015,7,9,0.68
Johor,2015,7,10,1.26
Johor,2015,7,11,0.70
Johor,2015,7,12,6.14
Johor,2015,7,13,8.11
Johor,2015,7,14,3.02
Johor,2015,7,15,0.82
Johor,2015,7,16,2.52
Johor,2015,7,17,2.36
Johor,2015,7,18,2.73
Johor,2015,7,19,4.36
Johor,2015,7,20,0.87
Johor,2015,7,21,2.09
Johor,2015,7,22,2.71
Johor,2015,7,23,13.80
Johor,2015,7,24,9.69
Johor,2015,7,25,24.15
Johor,2015,7,26,4.14
Johor,2015,7,27,2.70
Johor,2015,7,28,2.14
Johor,2015,7,29,6.58
Johor,2015,7,30,2.95
Johor,2015,7,31,4.86
Johor,2015,8,1,9.45
Johor,2015,8,2,5.73
Johor,2015,8,3,2.09
Johor,2015,8,4,15.71
Johor,2015,8,5,16.93
Johor,2015,8,6,7.42
Johor,2015,8,7,8.17
Johor,2015,8,8,14.48
Johor,2015,8,9,1.98
Johor,2015,8,10,9.47
Johor,2015,8,11,8.37
Johor,2015,8,12,3.31
Johor,2015,8,13,0.08
Johor,2015,8,14,0.39
Johor,2015,8,15,0.78
Johor,2015,8,16,3.82
Johor,2015,8,17,2.83
Johor,2015,8,18,5.52
Johor,2015,8,19,7.54
Johor,2015,8,20,3.30
Johor,2015,8,21,7.43
Johor,2015,8,22,0.53
Johor,2015,8,23,6.03
Johor,2015,8,24,10.91
Johor,2015,8,25,3.23
Johor,2015,8,26,0.41
Johor,2015,8,27,1.38
Johor,2015,8,28,0.74
Johor,2015,8,29,2.27
Johor,2015,8,30,1.09
Johor,2015,8,31,2.07
Johor,2015,9,1,4.47
Johor,2015,9,2,1.70
Johor,2015,9,3,1.00
Johor,2015,9,4,4.86
Johor,2015,9,5,2.41
Johor,2015,9,6,2.49
Johor,2015,9,7,3.04
Johor,2015,9,8,4.98
Johor,2015,9,9,14.13
Johor,2015,9,10,17.50
Johor,2015,9,11,8.61
Johor,2015,9,12,10.19
Johor,2015,9,13,0.78
Johor,2015,9,14,3.64
Johor,2015,9,15,1.33
Johor,2015,9,16,1.05
Johor,2015,9,17,2.98
Johor,2015,9,18,0.08
Johor,2015,9,19,0.10
Johor,2015,9,20,0.12
Johor,2015,9,21,0.40
Johor,2015,9,22,0.91
Johor,2015,9,23,0.00
Johor,2015,9,24,0.00
Johor,2015,9,25,0.09
Johor,2015,9,26,1.31
Johor,2015,9,27,3.40
Johor,2015,9,28,8.39
Johor,2015,9,29,14.45
Johor,2015,9,30,20.19
Johor,2015,10,1,20.09
Johor,2015,10,2,33.85
Johor,2015,10,3,1.11
Johor,2015,10,4,5.45
Johor,2015,10,5,16.62
Johor,2015,10,6,31.60
Johor,2015,10,7,15.55
Johor,2015,10,8,22.55
Johor,2015,10,9,0.98
Johor,2015,10,10,4.31
Johor,2015,10,11,9.48
Johor,2015,10,12,16.52
Johor,2015,10,13,19.25
Johor,2015,10,14,13.67
Johor,2015,10,15,14.70
Johor,2015,10,16,13.56
Johor,2015,10,17,7.21
Johor,2015,10,18,7.38
Johor,2015,10,19,3.32
Johor,2015,10,20,1.14
Johor,2015,10,21,0.94
Johor,2015,10,22,4.04
Johor,2015,10,23,1.09
Johor,2015,10,24,1.29
Johor,2015,10,25,0.71
Johor,2015,10,26,1.05
Johor,2015,10,27,1.17
Johor,2015,10,28,0.74
Johor,2015,10,29,0.74
Johor,2015,10,30,1.87
Johor,2015,10,31,1.24
Johor,2015,11,1,1.12
Johor,2015,11,2,0.58
Johor,2015,11,3,3.47
Johor,2015,11,4,1.39
Johor,2015,11,5,8.34
Johor,2015,11,6,5.10
Johor,2015,11,7,3.13
Johor,2015,11,8,5.55
Johor,2015,11,9,2.90
Johor,2015,11,10,6.63
Johor,2015,11,11,6.92
Johor,2015,11,12,8.69
Johor,2015,11,13,3.19
Johor,2015,11,14,11.76
Johor,2015,11,15,10.32
Johor,2015,11,16,30.22
Johor,2015,11,17,8.15
Johor,2015,11,18,26.89
Johor,2015,11,19,12.05
Johor,2015,11,20,10.34
Johor,2015,11,21,10.36
Johor,2015,11,22,11.47
Johor,2015,11,23,9.88
Johor,2015,11,24,18.11
Johor,2015,11,25,11.51
Johor,2015,11,26,7.49
Johor,2015,11,27,15.88
Johor,2015,11,28,8.22
Johor,2015,11,29,0.78
Johor,2015,11,30,0.26
Johor,2015,12,1,0.26
Johor,2015,12,2,0.27
Johor,2015,12,3,1.15
Johor,2015,12,4,0.20
Johor,2015,12,5,0.26
Johor,2015,12,6,2.87
Johor,2015,12,7,2.64
Johor,2015,12,8,22.19
Johor,2015,12,9,160.59
Johor,2015,12,10,5.81
Johor,2015,12,11,11.57
Johor,2015,12,12,3.90
Johor,2015,12,13,18.27
Johor,2015,12,14,6.89
Johor,2015,12,15,17.90
Johor,2015,12,16,36.39
Johor,2015,12,17,11.14
Johor,2015,12,18,16.09
Johor,2015,12,19,17.44
Johor,2015,12,20,20.66
Johor,2015,12,21,9.81
Johor,2015,12,22,13.05
Johor,2015,12,23,20.77
Johor,2015,12,24,53.02
Johor,2015,12,25,44.83
Johor,2015,12,26,15.93
Johor,2015,12,27,4.47
Johor,2015,12,28,13.62
Johor,2015,12,29,4.41
Johor,2015,12,30,8.51
Johor,2015,12,31,10.89
Johor,2016,1,1,6.66
Johor,2016,1,2,8.32
Johor,2016,1,3,7.35
Johor,2016,1,4,6.22
Johor,2016,1,5,22.02
Johor,2016,1,6,11.71
Johor,2016,1,7,17.56
Johor,2016,1,8,30.76
Johor,2016,1,9,6.44
Johor,2016,1,10,13.19
Johor,2016,1,11,10.29
Johor,2016,1,12,4.01
Johor,2016,1,13,28.32
Johor,2016,1,14,12.72
Johor,2016,1,15,27.23
Johor,2016,1,16,9.65
Johor,2016,1,17,42.63
Johor,2016,1,18,6.36
Johor,2016,1,19,1.04
Johor,2016,1,20,4.88
Johor,2016,1,21,6.76
Johor,2016,1,22,7.72
Johor,2016,1,23,17.07
Johor,2016,1,24,39.37
Johor,2016,1,25,16.66
Johor,2016,1,26,46.20
Johor,2016,1,27,28.88
Johor,2016,1,28,27.66
Johor,2016,1,29,57.39
Johor,2016,1,30,21.68
Johor,2016,1,31,6.33
Johor,2016,2,1,0.07
Johor,2016,2,2,0.27
Johor,2016,2,3,6.71
Johor,2016,2,4,7.66
Johor,2016,2,5,10.66
Johor,2016,2,6,6.38
Johor,2016,2,7,25.86
Johor,2016,2,8,0.51
Johor,2016,2,9,6.47
Johor,2016,2,10,3.56
Johor,2016,2,11,1.84
Johor,2016,2,12,2.98
Johor,2016,2,13,1.40
Johor,2016,2,14,3.97
Johor,2016,2,15,0.09
Johor,2016,2,16,0.08
Johor,2016,2,17,0.06
Johor,2016,2,18,0.06
Johor,2016,2,19,0.18
Johor,2016,2,20,0.08
Johor,2016,2,21,0.01
Johor,2016,2,22,0.33
Johor,2016,2,23,0.24
Johor,2016,2,24,1.55
Johor,2016,2,25,2.97
Johor,2016,2,26,2.05
Johor,2016,2,27,2.52
Johor,2016,2,28,6.73
Johor,2016,2,29,16.43
Johor,2016,3,1,19.61
Johor,2016,3,2,32.18
Johor,2016,3,3,5.21
Johor,2016,3,4,12.03
Johor,2016,3,5,17.72
Johor,2016,3,6,2.32
Johor,2016,3,7,0.27
Johor,2016,3,8,1.08
Johor,2016,3,9,2.53
Johor,2016,3,10,8.29
Johor,2016,3,11,10.92
Johor,2016,3,12,28.21
Johor,2016,3,13,20.90
Johor,2016,3,14,27.94
Johor,2016,3,15,11.34
Johor,2016,3,16,8.29
Johor,2016,3,17,10.72
Johor,2016,3,18,11.17
Johor,2016,3,19,8.74
Johor,2016,3,20,9.39
Johor,2016,3,21,4.48
Johor,2016,3,22,8.47
Johor,2016,3,23,4.33
Johor,2016,3,24,11.25
Johor,2016,3,25,8.81
Johor,2016,3,26,4.76
Johor,2016,3,27,5.72
Johor,2016,3,28,5.82
Johor,2016,3,29,8.84
Johor,2016,3,30,11.46
Johor,2016,3,31,23.07
Johor,2016,4,1,17.69
Johor,2016,4,2,24.94
Johor,2016,4,3,29.26
Johor,2016,4,4,14.03
Johor,2016,4,5,15.89
Johor,2016,4,6,8.39
Johor,2016,4,7,5.80
Johor,2016,4,8,5.73
Johor,2016,4,9,5.52
Johor,2016,4,10,22.80
Johor,2016,4,11,7.90
Johor,2016,4,12,15.57
Johor,2016,4,13,7.70
Johor,2016,4,14,0.89
Johor,2016,4,15,0.97
Johor,2016,4,16,0.01
Johor,2016,4,17,0.01
Johor,2016,4,18,0.04
Johor,2016,4,19,0.31
Johor,2016,4,20,0.56
Johor,2016,4,21,0.05
Johor,2016,4,22,0.96
Johor,2016,4,23,0.98
Johor,2016,4,24,2.21
Johor,2016,4,25,0.27
Johor,2016,4,26,0.00
Johor,2016,4,27,0.35
Johor,2016,4,28,0.77
Johor,2016,4,29,0.63
Johor,2016,4,30,2.08
Johor,2016,5,1,3.05
Johor,2016,5,2,1.01
Johor,2016,5,3,2.85
Johor,2016,5,4,12.65
Johor,2016,5,5,1.09
Johor,2016,5,6,14.14
Johor,2016,5,7,8.76
Johor,2016,5,8,2.25
Johor,2016,5,9,0.42
Johor,2016,5,10,0.06
Johor,2016,5,11,0.13
Johor,2016,5,12,2.05
Johor,2016,5,13,1.06
Johor,2016,5,14,0.14
Johor,2016,5,15,0.57
Johor,2016,5,16,6.67
Johor,2016,5,17,3.55
Johor,2016,5,18,14.47
Johor,2016,5,19,15.25
Johor,2016,5,20,6.06
Johor,2016,5,21,0.77
Johor,2016,5,22,14.38
Johor,2016,5,23,9.70
Johor,2016,5,24,12.55
Johor,2016,5,25,3.96
Johor,2016,5,26,15.23
Johor,2016,5,27,5.56
Johor,2016,5,28,7.36
Johor,2016,5,29,4.97
Johor,2016,5,30,6.81
Johor,2016,5,31,6.37
Johor,2016,6,1,3.48
Johor,2016,6,2,0.26
Johor,2016,6,3,0.16
Johor,2016,6,4,7.30
Johor,2016,6,5,2.82
Johor,2016,6,6,1.18
Johor,2016,6,7,2.71
Johor,2016,6,8,2.87
Johor,2016,6,9,7.15
Johor,2016,6,10,1.76
Johor,2016,6,11,5.05
Johor,2016,6,12,14.62
Johor,2016,6,13,33.92
Johor,2016,6,14,6.07
Johor,2016,6,15,0.32
Johor,2016,6,16,0.06
Johor,2016,6,17,7.76
Johor,2016,6,18,5.99
Johor,2016,6,19,2.73
Johor,2016,6,20,4.77
Johor,2016,6,21,2.19
Johor,2016,6,22,0.65
Johor,2016,6,23,4.63
Johor,2016,6,24,1.57
Johor,2016,6,25,1.20
Johor,2016,6,26,2.13
Johor,2016,6,27,1.63
Johor,2016,6,28,0.26
Johor,2016,6,29,0.66
Johor,2016,6,30,4.47
Johor,2016,7,1,6.78
Johor,2016,7,2,0.47
Johor,2016,7,3,0.09
Johor,2016,7,4,0.03
Johor,2016,7,5,0.04
Johor,2016,7,6,0.16
Johor,2016,7,7,0.02
Johor,2016,7,8,0.07
Johor,2016,7,9,0.28
Johor,2016,7,10,0.14
Johor,2016,7,11,0.19
Johor,2016,7,12,0.19
Johor,2016,7,13,0.03
Johor,2016,7,14,0.01
Johor,2016,7,15,2.37
Johor,2016,7,16,0.79
Johor,2016,7,17,12.39
Johor,2016,7,18,13.06
